load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
566784	10240	1872	36	184960	(8, 8, 160)	(17, 17, 160)	(3, 3)	(2, 2)	(0, 0)
224256	18816	1168	36	301056	(14, 14, 96)	(28, 28, 96)	(3, 3)	(2, 2)	(0, 0)
2690304	50176	6256	16	802816	(7, 7, 1024)	(14, 14, 1024)	(2, 2)	(2, 2)	(0, 0)
574464	50176	11376	36	200704	(7, 7, 1024)	(7, 7, 1024)	(3, 3)	(1, 1)	(1, 1)
672960	18816	4320	36	75264	(7, 7, 384)	(7, 7, 384)	(3, 3)	(1, 1)	(1, 1)
1345920	18816	4320	36	75264	(7, 7, 384)	(7, 7, 384)	(3, 3)	(1, 1)	(1, 1)
608256	12544	1648	16	173056	(7, 7, 256)	(13, 13, 256)	(2, 2)	(2, 2)	(0, 0)
369408	1728	784	36	37632	(3, 3, 192)	(7, 7, 192)	(3, 3)	(2, 2)	(0, 0)
792576	37632	2208	36	150528	(14, 14, 192)	(14, 14, 192)	(3, 3)	(1, 1)	(1, 1)
624640	25088	5728	36	100352	(7, 7, 512)	(7, 7, 512)	(3, 3)	(1, 1)	(1, 1)
99136	12544	592	36	200704	(14, 14, 64)	(28, 28, 64)	(3, 3)	(2, 2)	(0, 0)
991232	50176	1936	36	200704	(14, 14, 256)	(14, 14, 256)	(3, 3)	(1, 1)	(1, 1)
724992	12544	1648	16	200704	(7, 7, 256)	(14, 14, 256)	(2, 2)	(2, 2)	(0, 0)
1451760	11760	2736	36	47040	(7, 7, 240)	(7, 7, 240)	(3, 3)	(1, 1)	(1, 1)
58944	25088	864	16	373248	(14, 14, 128)	(27, 27, 128)	(2, 2)	(2, 2)	(0, 0)
6029952	401408	5744	36	1605632	(28, 28, 512)	(28, 28, 512)	(3, 3)	(1, 1)	(1, 1)
156960	193600	6064	36	197888	(55, 55, 64)	(55, 55, 64)	(3, 3)	(1, 1)	(1, 1)
101920	193600	6064	36	197888	(55, 55, 64)	(55, 55, 64)	(3, 3)	(1, 1)	(1, 1)
676352	12544	1648	16	173056	(7, 7, 256)	(13, 13, 256)	(2, 2)	(2, 2)	(0, 0)
6809472	43264	1648	16	692224	(13, 13, 256)	(26, 26, 256)	(2, 2)	(2, 2)	(0, 0)
778752	14112	3280	36	225792	(7, 7, 288)	(14, 14, 288)	(3, 3)	(2, 2)	(0, 0)
2980176	50176	6256	16	692224	(7, 7, 1024)	(13, 13, 1024)	(2, 2)	(2, 2)	(0, 0)
2064384	100352	6832	36	282624	(28, 28, 128)	(56, 56, 128)	(3, 3)	(2, 2)	(0, 0)
2691712	200704	11376	36	802816	(14, 14, 1024)	(14, 14, 1024)	(3, 3)	(1, 1)	(1, 1)
5276160	100352	22640	36	401408	(7, 7, 2048)	(7, 7, 2048)	(3, 3)	(1, 1)	(1, 1)
3770368	50176	6256	16	802816	(7, 7, 1024)	(14, 14, 1024)	(2, 2)	(2, 2)	(0, 0)
1619744	170528	25808	36	2023552	(73, 73, 32)	(147, 147, 32)	(3, 3)	(2, 2)	(0, 0)
7314944	677376	5856	36	1611264	(28, 28, 512)	(28, 28, 512)	(3, 3)	(1, 1)	(1, 1)
1228800	7168	5040	36	114688	(4, 4, 448)	(8, 8, 448)	(3, 3)	(2, 2)	(0, 0)
1025024	43264	3232	16	692224	(13, 13, 256)	(26, 26, 256)	(2, 2)	(2, 2)	(0, 0)
116736	1568	448	36	25088	(7, 7, 32)	(14, 14, 32)	(3, 3)	(2, 2)	(0, 0)
91056	6912	2208	36	129792	(6, 6, 192)	(13, 13, 192)	(3, 3)	(2, 2)	(0, 0)
